timestamp,node_id,gps_coords,reason,status
2026-07-07T11:38:55.331234,NODE_01,"(41.857097, -87.623471)",contamination,SIGNAL_SENT
2026-07-07T11:38:55.990110,NODE_06,"(41.855255, -87.639555)",contamination,SIGNAL_SENT
2026-07-07T11:38:56.651400,NODE_09,"(41.887449, -87.590227)",contamination,SIGNAL_SENT
2026-07-07T11:38:56.981674,NODE_05,"(41.910478, -87.607628)",contamination,SIGNAL_SENT
2026-07-07T11:38:57.312019,NODE_02,"(41.840095, -87.588121)",contamination,SIGNAL_SENT
2026-07-07T11:38:57.657023,NODE_07,"(41.838375, -87.660896)",contamination,SIGNAL_SENT
2026-07-07T11:38:58.703385,NODE_06,"(41.855255, -87.639555)",contamination,SIGNAL_SENT
2026-07-07T11:38:59.052853,NODE_08,"(41.906402, -87.608296)",contamination,SIGNAL_SENT
2026-07-07T11:38:59.387458,NODE_04,"(41.843962, -87.591601)",contamination,SIGNAL_SENT
2026-07-07T11:38:59.719657,NODE_05,"(41.910478, -87.607628)",contamination,SIGNAL_SENT
2026-07-07T11:39:00.380627,NODE_07,"(41.838375, -87.660896)",contamination,SIGNAL_SENT
2026-07-07T11:39:00.713233,NODE_01,"(41.857097, -87.623471)",contamination,SIGNAL_SENT
2026-07-07T11:39:01.043132,NODE_10,"(41.886427, -87.633103)",contamination,SIGNAL_SENT
2026-07-07T11:39:01.374514,NODE_02,"(41.840095, -87.588121)",contamination,SIGNAL_SENT
2026-07-07T11:39:02.049370,NODE_04,"(41.843962, -87.591601)",contamination,SIGNAL_SENT
2026-07-07T11:39:03.040970,NODE_10,"(41.886427, -87.633103)",contamination,SIGNAL_SENT
2026-07-07T11:39:03.370832,NODE_01,"(41.857097, -87.623471)",contamination,SIGNAL_SENT
2026-07-07T11:39:04.029246,NODE_10,"(41.886427, -87.633103)",contamination,SIGNAL_SENT
2026-07-07T11:39:04.687577,NODE_03,"(41.900166, -87.639655)",contamination,SIGNAL_SENT
